Battletags,Level,Rating,K/D,KDA,Win Pct,Kills/Game,Elim/Game,Damage/Game,Healing/Game,Elim/Min,Healing/Min,Damage/Min,Solo Kills,Obj kills,Final Blows,Damage Done,Elims,Environment Kills,MultiKills,Deaths
KaTeKoMi-2973,983,"4,489",2.96,6.96,58.5%,19.98,19.98,"5,302.87","8,470.99",1.66,11.73,440.44,56,679,374,"434,835","1,638",52,15,553
Decod-2801,"1,376","4,488",2.77,3.26,55.1%,25.48,25.48,"10,368.01",361.50,2.07,0.49,840.92,452,"2,906","3,456","3,276,292","8,051",125,169,"2,903"
Horthic-21496,"1,211","4,522",3.28,5.18,59.2%,25.40,25.40,"8,377.90","2,626.11",2.10, 3.62,693.07,190,950,"1,153","862,924","2,616",34,35,797
Tears-11531,364,"4,351",2.70,5.08,57.7%,20.38,20.38,"7,408.35","4,705.48",1.63,6.28,593.64,31,444,350,"385,234","1,060",32,20,393
McGravy-11115,"1,227","4,483",4.64,6.35,56.9%,26.57,26.57,"9,257.36",850.29,2.21,1.18,769.13,38,625,545,"536,927","1,541",4, 37,332
Architect-31384," 1,378","4,621",3.86,4.94,59.1%,28.21,28.21,"10,732.44","1,461.24",2.37,2.04,900.79,679,"1,921","3,506","2,597,250","6,828",20,126,"1,770"
Zuppeh-2840,996,"4,482",3.37,7.01,56.7%,23.27,23.27,"8,015.17","7,444.75",1.87,9.97,644.17,203,"1,461","1,421","1,386,625","4,026",9,39,"1,194"
rCk-21798,774,"4,482",3.48,4.22,59.1%,29.90,29.90,"11,832.45",405.17,2.31,0.52,913.38,167,829,"1,096","1,041,256","2,631",10,36,755
FishCake-11336,"1,052","4,481", 2.80,7.00,55.5%,19.83,19.83,"5,398.03","8,230.75",1.61,11.10,436.98,225,"1,944","1,319","1,419,682","5,216",237,31,"1,862"
salty-11372,881,"4,499",5.04,6.23,55.6%,29.26,29.26,"10,328.58",221.40,2.41,0.30,851.62,166,"1,610","1,866","1,559,616","4,419",18,85,876
SugarFree-11755,"2,668","4,415",3.40,4.45,56.1%,27.49,27.49,"10,660.35","1,533.02",2.25,2.09,872.46,"1,355","6,038","8,024","6,481,490","16,716",37,283,"4,915"
Trill-11167,"1,528","4,451",3.77, 4.68,58.3%,25.32,25.32,"9,365.56",535.10,2.16,0.76,800.43,48,657,676,"674,320","1,823",11,38,484
FDGod-2444,"1,510","4,426",2.76,5.79,58.3%,23.60,23.60,"7,175.31","8,503.42",1.87,11.20,566.99,182,"1,195","1,051","1,119,349","3,682",174,28,"1,332"
Syrus-11410,"1,378","4,477",3.24,4.83, 54.4%,24.80,24.80,"10,309.04","2,388.98",2.02,3.24,838.63,397,"2,175","2,499","2,237,062","5,381",14,101,"1,660"
LordXaan-1318,562,"4,476",2.61,2.79,61.6%,24.70,24.70,"9,441.89",439.04,2.27,0.67,868.65,601,"1,168","2,266","1,302,981","3,408",2,68,"1,308"
Jubsv1-1718,59,"4,475",3.12,3.26, 62.5%,29.45,29.45,"12,429.13","1,284.97",2.36,1.71, 994.33,454,"1,574","2,124","1,789,795","4,241",8,65,"1,358"
Psych0-21106,717,"4,475",3.27,4.34,51.7%,25.94,25.94,"10,375.17","1,378.62",2.14,1.89,854.29,490,"2,111","2,714","2,427,789","6,071",17,118,"1,856"
bock1-2590,"1,602","4,475",2.10,6.17,58.1%,19.57,19.57,"6,081.38","9,659.92",1.61,13.23,499.77,196,"1,994","1,635","1,654,135","5,322",7,52,"2,529"
KarQ-1811,"1,593","4,474",2.07,5.99,53.3%,17.03,17.03,"4,627.46","9,943.68",1.36,13.21,368.76,112,"2,364","1,531","1,633,495","6,010",10,60,"2,907"
GetAmazed-21162,"1,508","4,472",4.61,5.98,61.8%,29.63,29.63,"10,685.15",701.78,2.44,0.96,878.43,132,864,"1,051","950,978","2,637",6,53,572
Manneten-2445,"1,146","4,472",4.49,6.31,60.5%,27.80,27.80,"10,419.63","1,143.73",2.17,1.49,814.63,115,"1,251","1,285","1,292,034","3,447",12,69,767
SaltShaker-11718,454,"4,470",2.93,5.19,52.9%,22.20,22.20,"7,919.92",861.14,1.90,1.23,678.49,28,652,325,"403,916","1,132",9,7,386
yungsavage-21665,968,"4,469",2.71,6.10,55.7%,21.55,21.55,"6,173.82","7,218.83",1.77,9.86,505.79,266,"2,758","2,044","2,006,491","7,003",147,54,"2,588"
Twolzz-2552,"1,381","4,544",3.91,5.63,57.5%,27.97,27.97,"9,778.41","1,885.51",2.24,2.52,784.38,358,"2,462","2,999","2,552,166","7,301",17,144,"1,865"
ZION-31702,203,"4,467",3.89,10.71,55.8%,20.92,20.92,"7,703.71","8,318.94",1.78,11.81,656.12,117,669,674,"662,519 ","1,799",0,16,462
ShonP-21888,"1,400","4,465",3.56,4.54,60.4%,29.14,29.14,"10,904.40","1,233.91",2.31,1.63,864.14,277,"2,001","2,355","2,148,166","5,741",91,120,"1,611"
iluvcodey-1973,94,"4,465",2.36,3.14,59.2%,27.12,27.12,"9,147.83","1,816.83",2.17,2.42,731.83,433,921,"1,766","1,097,740","3,254",41,47 ,"1,378"
VoHiYo-11363,68,"4,464",3.85,3.87,59.1%,34.76,34.76,0.00,85.95,2.62,0.11,0.00,480,"1,943","2,660",0,"5,353",0,43,"1,390"
ONIGOD-21483,"1,626","4,463",2.45,2.95, 53.9%,24.99,24.99,"9,940.01 ",913.30,2.04,1.24,810.75,340,752,"1,345","1,033,761","2,599",4,27,"1,060"
Natrix-11312,574,"4,437",2.63,4.48,52.5%,21.84,21.84,"7,460.30","3,054.62",1.78,4.15,607.88,29,572,457,"455,078","1,332",16 ,24,507
Fosmanx-1931,"1,206","4,544",4.09,5.13,62.1%,31.47,31.47,"10,132.14",334.36,2.47,0.44,796.67,72, 729,803,"668,721","2,077",6,44,508
SoOn-2543,924,"4,481",2.76,3.63,58.8%,26.16,26.16,"10,634.26",898.89,2.11,1.21,855.80,280,754,"1,129","903,912","2,224",6,33,806
Far-11498,895,"4,461",3.40,3.75,60.0%,30.22,30.22,"12,230.92",841.20,2.30,1.07,931.86,155,449,816,"611,546","1,511",0,23,444
ZiRa1No-1737,296,"4,458",2.72,3.18,53.1%,20.39,20.39,"7,358.06",979.88,1.70,1.36,613.74,172,988,"1,181","1,066,919","2,957",31,22,"1,088"
Kephrii-11520,"2,305","4,271",2.83,3.68,53.3%,24.90,24.90,"9,788.49","1,147.07",2.01,1.54,788.35,"1,093","2,953","4,297","3,543,435","9,015",19,133,"3,186"
ZachaREEE-1297,"1,561","4,457",3.42,4.45,53.7%,27.42,27.42,"11,114.26","1,465.13",2.14,1.90,865.61,206,977,"1,432","1,200,340","2,961",8,37, 865
Lepadef-2655,"1,436","4,457",2.62,3.86,54.1%,23.20,23.20,"8,105.82","2,158.61",1.85,2.87,647.08,75,"1,021",911,"899,746","2,575",15,34,983
